strategy,rebalance_id,execution_date,signal_date,signal_type,target_etf_weight_pct,target_cash_weight_pct,approx_target_exposure_pct,action,etf_close,account_value_before,etf_value_before,cash_before,etf_weight_before_pct,trade_amount,buy_amount,sell_amount,commission,transaction_tax,total_cost,etf_value_after,cash_after,account_value_after,etf_weight_after_pct
macd_rebalance_50_50,14,2017-05-31,2017-05-26,golden_cross,50.0,50.0,100.0,sell,1.2946669138017737,1244585.570246065,626293.9819854948,618291.5882605701,50.32148828960561,4003.9976588246736,0.0,4003.9976588246736,1.597595065871045,4.003997658824674,5.601592724695719,622289.9843266702,622289.9843266701,1244579.9686533404,50.0
macd_rebalance_50_50,15,2017-08-14,2017-08-11,death_cross,50.0,50.0,100.0,sell,1.4487731554309666,1318652.1254882338,696362.1411615637,622289.9843266701,52.80863145795439,37062.00328874729,0.0,37062.00328874729,14.78773931221017,37.06200328874729,51.84974260095746,659300.1378728164,659300.1378728164,1318600.2757456328,50.0
macd_rebalance_50_50,16,2018-01-22,2018-01-19,golden_cross,50.0,50.0,100.0,sell,1.7204182051065926,1442219.089382701,782918.9515098848,659300.1378728164,54.28571548342145,61852.672763132054,0.0,61852.672763132054,24.679216432489692,61.852672763132055,86.53188919562174,721066.2787467528,721066.2787467528,1442132.5574935055,50.0
macd_rebalance_50_50,17,2018-02-12,2018-02-09,death_cross,50.0,50.0,100.0,buy,1.4844700781743037,1343241.3475776054,622175.0688308527,721066.2787467528,46.318933671367404,49435.74252731576,49435.74252731576,0.0,19.72486126839899,0.0,19.72486126839899,671610.8113581685,671610.8113581686,1343221.622716337,50.0
macd_rebalance_50_50,18,2018-06-11,2018-06-08,golden_cross,50.0,50.0,100.0,sell,1.6546835103993611,1420230.370148501,748619.5587903324,671610.8113581686,52.7111357794761,38531.32637888398,0.0,38531.32637888398,15.37399922517471,38.53132637888398,53.90532560405869,710088.2324114484,710088.2324114486,1420176.464822897,49.99999999999999
macd_rebalance_50_50,19,2018-07-02,2018-06-29,death_cross,50.0,50.0,100.0,buy,1.5832896649126869,1389538.6242763065,679450.3918648578,710088.2324114486,48.89755347525703,15315.864758276213,15315.864758276213,0.0,6.11103003855221,0.0,6.11103003855221,694766.256623134,694766.2566231338,1389532.5132462678,50.000000000000014
macd_rebalance_50_50,20,2018-08-06,2018-08-03,golden_cross,50.0,50.0,100.0,sell,1.7495851341017852,1462504.9346435042,767738.6780203703,694766.2566231338,52.49477521985333,36511.75066821062,0.0,36511.75066821062,14.568188516616038,36.51175066821062,51.07993918482666,731226.9273521597,731226.9273521596,1462453.8547043195,50.0
macd_rebalance_50_50,21,2018-08-20,2018-08-17,death_cross,50.0,50.0,100.0,buy,1.6755794239675652,1431523.6833321545,700296.7559799949,731226.9273521596,48.919676574956526,15462.001016879503,15462.001016879503,0.0,6.169338405734923,0.0,6.169338405734923,715758.7569968743,715758.7569968745,1431517.513993749,49.99999999999999
macd_rebalance_50_50,22,2019-01-21,2019-01-18,golden_cross,50.0,50.0,100.0,buy,1.4209121587595464,1322731.0711753787,606972.3141785043,715758.7569968745,45.88780950304197,54382.37212594597,54382.37212594597,0.0,21.698566478252445,0.0,21.698566478252445,661354.6863044503,661354.6863044503,1322709.3726089005,50.0
macd_rebalance_50_50,23,2019-06-03,2019-05-31,death_cross,50.0,50.0,100.0,sell,1.593737621696789,1403149.9045036125,741795.2181991623,661354.6863044503,52.86642687415387,40248.41971694801,0.0,40248.41971694801,16.059119467062256,40.248419716948014,56.30753918401027,701546.7984822142,701546.7984822143,1403093.5969644287,49.99999999999999
macd_rebalance_50_50,24,2019-07-08,2019-07-05,golden_cross,50.0,50.0,100.0,sell,1.7117116021306136,1455024.5215726066,753477.7230903924,701546.7984822143,51.78453778057468,25983.63785877131,0.0,25983.63785877131,10.367471505649755,25.983637858771313,36.35110936442107,727494.085231621,727494.0852316212,1454988.170463242,50.0
macd_rebalance_50_50,25,2019-08-05,2019-08-02,death_cross,50.0,50.0,100.0,buy,1.671661460931607,1437966.4707804793,710472.385548858,727494.0852316212,49.40813294229578,8509.152265504688,8509.152265504688,0.0,3.395151753936371,0.0,3.395151753936371,718981.5378143627,718981.5378143626,1437963.0756287253,50.0
